,year,semester,course_id,class_number,counts,key
358,2022,1,II2111,2,70,2022-1-II2111-2
359,2022,1,II2111,3,29,2022-1-II2111-3
360,2022,1,II2130,1,69,2022-1-II2130-1
361,2022,1,II2130,2,68,2022-1-II2130-2
362,2022,1,II2130,3,31,2022-1-II2130-3
363,2022,1,II3120,1,57,2022-1-II3120-1
364,2022,1,II3120,2,59,2022-1-II3120-2
365,2022,1,II3121,1,55,2022-1-II3121-1
366,2022,1,II3121,2,58,2022-1-II3121-2
367,2022,1,II3131,1,57,2022-1-II3131-1
368,2022,1,II3131,2,56,2022-1-II3131-2
369,2022,1,II3150,1,56,2022-1-II3150-1
370,2022,1,II3150,2,60,2022-1-II3150-2
371,2022,1,II3160,1,58,2022-1-II3160-1
372,2022,1,II3160,2,63,2022-1-II3160-2
373,2022,1,II4022,1,65,2022-1-II4022-1
374,2022,1,II4032,1,46,2022-1-II4032-1
375,2022,1,II4033,1,56,2022-1-II4033-1
376,2022,1,II4037,1,38,2022-1-II4037-1
377,2022,1,II4042,1,34,2022-1-II4042-1
378,2022,1,II4071,1,57,2022-1-II4071-1
379,2022,1,II4090,1,105,2022-1-II4090-1
380,2022,1,II4091,1,60,2022-1-II4091-1
381,2022,1,II4091,2,53,2022-1-II4091-2
382,2022,1,II4092,1,7,2022-1-II4092-1
383,2022,1,II4370,1,130,2022-1-II4370-1
384,2022,1,II4371,1,155,2022-1-II4371-1
385,2022,2,IF1210,1,57,2022-2-IF1210-1
386,2022,2,IF1210,2,56,2022-2-IF1210-2
387,2022,2,IF1210,3,55,2022-2-IF1210-3
388,2022,2,IF1210,4,55,2022-2-IF1210-4
389,2022,2,IF1210,5,55,2022-2-IF1210-5
390,2022,2,IF1210,6,56,2022-2-IF1210-6
391,2022,2,IF1210,7,57,2022-2-IF1210-7
392,2022,2,IF1210,8,56,2022-2-IF1210-8
393,2022,2,IF1210,9,55,2022-2-IF1210-9
394,2022,2,IF1210,10,43,2022-2-IF1210-10
395,2022,2,IF1210,11,44,2022-2-IF1210-11
396,2022,2,IF2210,1,66,2022-2-IF2210-1
397,2022,2,IF2210,2,65,2022-2-IF2210-2
398,2022,2,IF2210,3,28,2022-2-IF2210-3
399,2022,2,IF2211,1,65,2022-2-IF2211-1
400,2022,2,IF2211,2,65,2022-2-IF2211-2
401,2022,2,IF2211,3,29,2022-2-IF2211-3
402,2022,2,IF2212,1,70,2022-2-IF2212-1
403,2022,2,IF2212,2,71,2022-2-IF2212-2
404,2022,2,IF2212,3,30,2022-2-IF2212-3
405,2022,2,IF2220,1,66,2022-2-IF2220-1
406,2022,2,IF2220,2,66,2022-2-IF2220-2
